Amount,Frequency,Location,Device,Time,AccountAge,Fraud
193808,9,International,POS,Afternoon,33,1
129187,4,Different City,Web,Afternoon,96,0
40981,9,Different City,POS,Afternoon,51,0
15739,6,International,POS,Afternoon,44,0
55262,9,International,Web,Evening,79,0
53099,2,Different City,Web,Evening,81,0
123329,3,Same City,ATM,Afternoon,82,0
189809,10,Different City,ATM,Morning,53,0
185618,10,International,POS,Afternoon,33,1
84510,8,Same City,ATM,Evening,86,0
47591,3,International,POS,Evening,17,0
119297,6,Same City,POS,Evening,116,0
151677,8,International,ATM,Night,80,1
196215,6,International,ATM,Afternoon,22,1
121132,3,Different City,Web,Morning,99,0
162781,7,International,Mobile,Morning,70,1
7449,1,Different City,ATM,Morning,33,0
5471,8,International,Web,Evening,22,0
69188,4,International,Mobile,Afternoon,27,0
112261,8,Different City,ATM,Morning,94,0
134515,10,Same City,POS,Evening,18,0
178602,9,International,Web,Evening,53,1
183614,4,International,Web,Evening,107,0
19497,1,International,Web,Evening,117,0
184989,5,Different City,ATM,Evening,12,0
13005,8,Different City,ATM,Afternoon,55,0
89402,7,Same City,ATM,Night,51,0
116520,2,Same City,POS,Morning,95,0
148137,5,International,ATM,Afternoon,92,0
61608,9,Same City,Mobile,Evening,10,0
1232,9,International,Mobile,Morning,30,0
182241,7,Same City,ATM,Night,73,0
10427,3,International,Web,Morning,118,0
175253,1,International,ATM,Evening,50,0
63206,5,Different City,Mobile,Night,107,0
186629,5,Different City,ATM,Evening,64,0
155119,4,International,Web,Afternoon,66,0
3372,3,Same City,POS,Night,38,0
21537,2,Different City,POS,Afternoon,116,0
46540,6,International,Mobile,Night,109,0
164387,9,International,POS,Evening,80,1
157940,3,International,POS,Night,116,0
177418,3,Different City,Mobile,Evening,41,0
32696,3,Same City,Mobile,Morning,30,0
120801,4,Same City,Web,Morning,120,0
75758,2,International,Web,Afternoon,32,0
154306,3,Different City,Web,Morning,53,0
109602,2,Same City,ATM,Morning,31,0
43766,5,Different City,Mobile,Afternoon,37,0
106864,3,Different City,POS,Afternoon,64,0
167977,10,Same City,Web,Night,5,0
99059,10,International,ATM,Afternoon,77,1
39048,7,Same City,Web,Evening,108,0
153197,2,International,POS,Afternoon,118,0
156862,8,Different City,ATM,Afternoon,52,0
123767,8,Same City,POS,Morning,22,0
77432,6,Different City,Mobile,Morning,73,0
97357,5,Different City,ATM,Night,96,0
195086,10,Different City,Mobile,Morning,14,0
14194,2,Different City,Mobile,Night,100,0
54252,7,Different City,Mobile,Night,41,0
58429,3,Same City,ATM,Night,26,0
188391,6,Same City,Web,Morning,55,0
101780,7,International,POS,Night,52,1
105220,6,Different City,POS,Night,80,0
69870,1,Same City,ATM,Afternoon,90,0
18703,4,Different City,ATM,Morning,3,0
126361,10,Same City,Mobile,Evening,20,0
119914,1,International,POS,Evening,69,0
194859,10,Same City,ATM,Evening,84,0
138831,1,International,POS,Afternoon,78,0
108689,1,Same City,ATM,Evening,92,0
186599,5,Different City,ATM,Afternoon,70,0
171646,8,Different City,POS,Evening,94,0
123272,7,International,POS,Evening,57,1
185152,9,International,ATM,Morning,8,1
105339,10,Same City,Mobile,Afternoon,94,0
127878,8,International,ATM,Afternoon,67,1
186992,9,International,Mobile,Night,87,1
46710,4,International,Web,Night,89,0
120899,8,Same City,ATM,Night,55,0
141078,9,Same City,ATM,Afternoon,115,0
149453,8,Same City,Mobile,Evening,91,0
54452,9,Same City,Mobile,Afternoon,103,0
197576,10,International,POS,Morning,98,1
91253,10,International,POS,Evening,1,1
114194,2,Different City,Web,Afternoon,37,0
156543,7,Same City,Web,Evening,16,0
149152,9,Same City,Web,Evening,16,0
159748,10,Same City,ATM,Morning,48,0
164662,1,International,ATM,Morning,55,0
764,5,Same City,Web,Evening,69,0
151445,4,Same City,Web,Night,13,0
198347,5,Different City,Mobile,Morning,26,0
6117,9,Different City,Mobile,Evening,48,0
23375,6,Same City,ATM,Morning,67,0
92922,3,International,POS,Afternoon,1,0
186277,8,Different City,POS,Morning,10,0
182418,8,Same City,POS,Night,119,0
32018,8,Different City,POS,Evening,33,0
119243,2,Same City,Mobile,Morning,85,0
117401,6,Same City,POS,Evening,73,0
73924,5,International,Mobile,Afternoon,38,0
49430,4,Different City,ATM,Night,111,0
14221,5,Different City,Mobile,Afternoon,95,0
35713,5,Different City,Mobile,Afternoon,115,0
105210,5,International,Mobile,Afternoon,81,0
21909,2,Same City,ATM,Morning,117,0
68884,6,International,Mobile,Afternoon,49,0
194423,5,International,Web,Evening,94,0
134871,2,Different City,ATM,Morning,14,0
166541,4,International,POS,Afternoon,16,0
155386,4,Same City,POS,Evening,30,0
40121,1,International,ATM,Afternoon,98,0
131877,7,Same City,Mobile,Afternoon,67,0
66028,4,Same City,Mobile,Afternoon,11,0
19147,6,Different City,Web,Evening,68,0
27144,3,International,Web,Morning,70,0
126859,4,Same City,Web,Afternoon,104,0
111389,4,Different City,Mobile,Morning,55,0
186077,4,Different City,Mobile,Afternoon,109,0
66746,9,Same City,ATM,Afternoon,117,0
111891,1,Different City,Mobile,Night,103,0
183824,2,Same City,POS,Afternoon,9,0
26201,5,Same City,ATM,Afternoon,79,0
198810,5,Same City,Web,Afternoon,45,0
83481,8,Different City,Mobile,Afternoon,67,0
122159,8,Same City,Mobile,Afternoon,17,0
123991,8,International,Mobile,Morning,45,1
3166,1,International,ATM,Night,84,0
85444,3,International,Web,Evening,41,0
181915,10,Same City,ATM,Afternoon,88,0
158616,7,International,Web,Afternoon,78,1
52365,2,Different City,POS,Night,46,0
162388,3,International,Mobile,Morning,89,0
179665,1,Different City,ATM,Afternoon,33,0
55842,9,International,ATM,Evening,106,0
95512,8,International,Mobile,Afternoon,76,1
79524,7,International,POS,Afternoon,96,0
165270,5,Different City,Web,Morning,58,0
120465,4,Same City,POS,Morning,114,0
64261,4,Different City,Mobile,Morning,114,0
90784,9,International,Mobile,Afternoon,115,1
102557,9,Different City,ATM,Morning,11,0
22264,10,Different City,Web,Evening,40,0
191456,9,Same City,Web,Afternoon,104,0
159847,9,Different City,POS,Evening,74,0
53043,8,Different City,Web,Evening,16,0
97400,6,Different City,POS,Night,74,0
148757,9,Same City,Mobile,Night,69,0
19989,8,Same City,Mobile,Evening,111,0
58106,9,International,ATM,Night,48,0
156330,8,Different City,ATM,Afternoon,82,0
124800,10,Different City,POS,Morning,44,0
32665,10,Same City,POS,Morning,75,0
29706,7,International,ATM,Evening,92,0
109396,1,International,Web,Night,92,0
38277,5,International,ATM,Morning,44,0
4619,3,International,Mobile,Evening,90,0
199266,9,International,POS,Afternoon,41,1
3376,4,International,Web,Morning,97,0
54529,2,International,ATM,Afternoon,6,0
148573,3,Different City,Mobile,Morning,10,0
19278,7,International,POS,Morning,57,0
2856,1,Different City,Mobile,Evening,78,0
127106,8,Same City,POS,Morning,5,0
90502,3,International,Web,Night,53,0
161594,6,Same City,ATM,Morning,80,0
140158,9,Different City,Web,Evening,26,0
194063,10,Same City,Mobile,Morning,68,0
46278,3,Different City,Web,Afternoon,1,0
153713,10,Different City,Mobile,Afternoon,101,0
155730,10,Same City,Web,Evening,42,0
76636,1,Different City,Mobile,Night,82,0
191931,1,Different City,Web,Afternoon,30,0
39549,10,Different City,POS,Night,26,0
155208,10,Same City,ATM,Afternoon,92,0
168675,4,International,ATM,Night,22,0
26293,3,International,ATM,Night,64,0
921,4,Same City,ATM,Night,76,0
42952,7,Different City,POS,Morning,68,0
81912,5,International,ATM,Afternoon,26,0
